Retail Branding,Marketing Name,Device,Model
Samsung,Galaxy Tab4 8.0,milletwifiue,SM-T330NU
Samsung,Galaxy Tab4 Active,rubenslte,SM-T365
Samsung,Galaxy Tab4 Active,rubenslte,SM-T365M
Samsung,Galaxy Tab4 Active,rubensltekx,SM-T365F0
Samsung,Galaxy Tab4 Active,rubenswifi,SM-T360
Samsung,Galaxy Tab4 Active,rubenswifichn,SM-T360
Samsung,Galaxy Tab4 Nook 10.1,matissewifiopenbnn,SM-T530NU
Samsung,Galaxy TabA Plus10.1,gtanotexlwifikx,SM-P580X
Samsung,Galaxy TabE 8.0,gtesltektt,SM-T378K
Samsung,Galaxy TabE 8.0,gtesltelgt,SM-T378L
Samsung,Galaxy TabE 8.0,gteslteskt,SM-T378S
Samsung,Galaxy TabS 10.5,SCT21,SCT21
Samsung,Galaxy TabS 10.5,chagallhltektt,SM-T805K
Samsung,Galaxy TabS 10.5,chagallhltelgt,SM-T805L
Samsung,Galaxy TabS 10.5,chagallhlteskt,SM-T805S
Samsung,Galaxy TabS 10.5,chagalllte,SM-T805
Samsung,Galaxy TabS 10.5,chagalllte,SM-T805C
Samsung,Galaxy TabS 10.5,chagalllte,SM-T805M
Samsung,Galaxy TabS 10.5,chagalllte,SM-T805Y
Samsung,Galaxy TabS 10.5,chagalllte,SM-T807
Samsung,Galaxy TabS 10.5,chagalllteatt,SAMSUNG-SM-T807A
Samsung,Galaxy TabS 10.5,chagallltecan,SM-T805W
Samsung,Galaxy TabS 10.5,chagallltespr,SM-T807P
Samsung,Galaxy TabS 10.5,chagallltetmo,SM-T807T
Samsung,Galaxy TabS 10.5,chagalllteusc,SM-T807R4
Samsung,Galaxy TabS 10.5,chagallltevzw,SM-T807V
Samsung,Galaxy TabS 10.5,chagallwifi,SM-T800
Samsung,Galaxy TabS 10.5,chagallwifi,SM-T800X
Samsung,Galaxy TabS 10.5,chagallwifikx,SM-T800
Samsung,Galaxy TabS 8.4,klimtlte,SM-T705
Samsung,Galaxy TabS 8.4,klimtlte,SM-T705M
Samsung,Galaxy TabS 8.4,klimtlteatt,SAMSUNG-SM-T707A
Samsung,Galaxy TabS 8.4,klimtltecan,SM-T705W
Samsung,Galaxy TabS 8.4,klimtwifi,SM-T700
Samsung,Galaxy TabS 8.4,klimtwifikx,SM-T700
Samsung,Galaxy TabS2 9.7,gts210veltevzw,SM-T818V
Samsung,Galaxy TabS3,gts3llte,SM-T825
Samsung,Galaxy TabS3,gts3llte,SM-T825Y
Samsung,Galaxy TabS3,gts3lltechn,SM-T825C
Samsung,Galaxy Tap Pro 10.1,picassolte,SM-T525
Samsung,Galaxy Tap Pro 8.4,mondrianwifi,SM-T320
Samsung,Galaxy Trend,kyleve,GT-S7392
Samsung,Galaxy Trend,kyleve,GT-S7392L
Samsung,Galaxy Trend,kyleve3gcmcc,GT-S7568I
Samsung,Galaxy Trend Duos,kyleichn,GT-S7562i
Samsung,Galaxy Trend Duos,kylepluschn,GT-S7572
Samsung,Galaxy Trend Duos,kyleve,GT-S7390
Samsung,Galaxy Trend Duos,kyleve,GT-S7392
Samsung,Galaxy Trend Duos,kyleve,GT-S7562C
Samsung,Galaxy Trend Lite,kylevess,GT-S7390
Samsung,Galaxy Trend Lite,kylevess,GT-S7390L
Samsung,Galaxy Trend Plus,kylepro,GT-S7580
Samsung,Galaxy Trend Plus,kylepro,GT-S7580E
Samsung,Galaxy Trend Plus,kylepro,GT-S7580L
Samsung,Galaxy Trend Plus,kylepro,GT-S7583T
Samsung,Galaxy Trend2,garda3gcmcc,GT-S7898
Samsung,Galaxy Trend2,gardave3gcmcc,GT-S7898I
Samsung,Galaxy Trend2,kyleplusctc,SCH-I739
Samsung,Galaxy Trend3,cs023g,SM-G3502U
Samsung,Galaxy Trend3,cs02cmcc,SM-G3508
Samsung,Galaxy Trend3,cs02ctc,SM-G3509
Samsung,Galaxy Trend3,cs02ve,SM-G3508I
Samsung,Galaxy Trend3,cs02ve3g,SM-G3502C
Samsung,Galaxy Trend3,cs02ve3g,SM-G3502I
Samsung,Galaxy Trend3,cs02ve3g,SM-G3508J
Samsung,Galaxy Trend3,cs02ve3g,SM-G3509I
Samsung,Galaxy U,SHW-M130L,SHW-M130L
Samsung,Galaxy Victory,goghspr,SPH-L300
Samsung,Galaxy Victory,goghvmu,SPH-L300
Samsung,Galaxy View,gvlte,SM-T677
Samsung,Galaxy View,gvlteatt,SAMSUNG-SM-T677A
Samsung,Galaxy View,gvltevzw,SM-T677V
Samsung,Galaxy View,gvltexsp,SM-T677
Samsung,Galaxy View,gvwifijpn,SM-T670
Samsung,Galaxy View,gvwifiue,SM-T670
Samsung,Galaxy View2,gview2lteatt,SM-T927A
Samsung,Galaxy W,GT-I8150,GT-I8150
Samsung,Galaxy W,GT-I8150B,GT-I8150B
Samsung,Galaxy W,GT-I8150T,GT-I8150T
Samsung,Galaxy W,SGH-T679M,SGH-T679M
Samsung,Galaxy W,q7lteskt,SM-T255S
Samsung,Galaxy Watch4,freshbl,SM-R870
Samsung,Galaxy Watch4,freshbs,SM-R860
Samsung,Galaxy Watch4,freshul,SM-R875F
Samsung,Galaxy Watch4,freshul,SM-R875N
Samsung,Galaxy Watch4,freshul,SM-R875U
Samsung,Galaxy Watch4,freshus,SM-R865F
Samsung,Galaxy Watch4,freshus,SM-R865N
Samsung,Galaxy Watch4,freshus,SM-R865U
Samsung,Galaxy Watch4 Classic,wisebl,SM-R890
Samsung,Galaxy Watch4 Classic,wisebs,SM-R880
Samsung,Galaxy Watch4 Classic,wiseul,SM-R8950
Samsung,Galaxy Watch4 Classic,wiseul,SM-R895F
Samsung,Galaxy Watch4 Classic,wiseul,SM-R895N
Samsung,Galaxy Watch4 Classic,wiseul,SM-R895U
Samsung,Galaxy Watch4 Classic,wiseus,SM-R885F
Samsung,Galaxy Watch4 Classic,wiseus,SM-R885N
Samsung,Galaxy Watch4 Classic,wiseus,SM-R885U
Samsung,Galaxy Watch5,heartbl,SM-R910
Samsung,Galaxy Watch5,heartbs,SM-R900
Samsung,Galaxy Watch5,heartul,SM-R9150
Samsung,Galaxy Watch5,heartul,SM-R915F
Samsung,Galaxy Watch5,heartul,SM-R915N
Samsung,Galaxy Watch5,heartul,SM-R915U
Samsung,Galaxy Watch5,heartus,SM-R905F
Samsung,Galaxy Watch5,heartus,SM-R905N
Samsung,Galaxy Watch5,heartus,SM-R905U
Samsung,Galaxy Watch5 Pro,projectxbl,SM-R920
Samsung,Galaxy Watch5 Pro,projectxul,SM-R925F
Samsung,Galaxy Watch5 Pro,projectxul,SM-R925N
Samsung,Galaxy Watch5 Pro,projectxul,SM-R925U
Samsung,Galaxy Wide,on7nlteskt,SM-G600S
Samsung,Galaxy Wide2,j7popelteskt,SM-J727S
Samsung,Galaxy Wide3,j7toplteskt,SM-J737S
Samsung,Galaxy Wide4,a20,SM-A205S
Samsung,Galaxy Wide5,f42x,SM-E426S
Samsung,Galaxy Win,delos3gcmcc,GT-I8558
Samsung,Galaxy Win,delos3gduosctc,SCH-I869
Samsung,Galaxy Win,delos3geur,GT-I8552
Samsung,Galaxy Win,delos3geur,GT-I8552B
Samsung,Galaxy Win,delos3gss,GT-I8550E
Samsung,Galaxy Win,delosltelgt,SHV-E500L
Samsung,Galaxy Win,deloslteskt,SHV-E500S
Samsung,Galaxy Win Duos,delos3gchn,GT-I8552
Samsung,Galaxy Win Pro,wilcox3g,SM-G3818
Samsung,Galaxy Win Pro,wilcoxctc,SM-G3819
Samsung,Galaxy Win Pro,wilcoxctc,SM-G3819D
Samsung,Galaxy Win Pro,wilcoxds,SM-G3812
Samsung,Galaxy Win2,coreprimeltedtv,SM-G360BT
Samsung,Galaxy XCover 4s,xcover4s,SM-G398FN
Samsung,Galaxy XCover 5,xcover5,SM-G525F
Samsung,Galaxy XCover 5,xcover5,SM-G525N
Samsung,Galaxy XCover Field Pro,haechiy19,SM-G889F
Samsung,Galaxy XCover FieldPro,haechiy19,SM-G889G
Samsung,Galaxy XCover FieldPro,haechiy19,SM-G889YB
Samsung,Galaxy XCover FieldPro,haechiy19lteatt,SM-G889A
Samsung,Galaxy XCover Pro,xcoverpro,SM-G715FN
Samsung,Galaxy XCover4,xcover4lte,SM-G390F
Samsung,Galaxy XCover6 Pro,xcoverpro2,SM-G736B
Samsung,Galaxy XCover6 Pro,xcoverpro2,SM-G736U
Samsung,Galaxy XCover6 Pro,xcoverpro2,SM-G736U1
Samsung,Galaxy XCover6 Pro,xcoverpro2,SM-G736W
Samsung,Galaxy Xcover,GT-S5690,GT-S5690
Samsung,Galaxy Xcover,GT-S5690L,GT-S5690L
Samsung,Galaxy Xcover,GT-S5690M,GT-S5690M
Samsung,Galaxy Xcover,GT-S5690R,GT-S5690R
Samsung,Galaxy Xcover2,skomer,GT-S7710
Samsung,Galaxy Xcover2,skomer,GT-S7710L
Samsung,Galaxy Xcover3,xcover3lte,SM-G388F
Samsung,Galaxy Xcover3,xcover3velte,SM-G389F
Samsung,Galaxy Xcover4,xcover4lte,SM-G390Y
Samsung,Galaxy Xcover4,xcover4ltecan,SM-G390W
Samsung,Galaxy Y,GT-S5360,GT-S5360
Samsung,Galaxy Y,GT-S5360B,GT-S5360B
Samsung,Galaxy Y,GT-S5360L,GT-S5360L
Samsung,Galaxy Y,GT-S5360T,GT-S5360T
Samsung,Galaxy Y,GT-S5363,GT-S5363
Samsung,Galaxy Y,GT-S5368,GT-S5368
Samsung,Galaxy Y,GT-S5369,GT-S5369
Samsung,Galaxy Y,SCH-I509,SCH-I509
Samsung,Galaxy Y,SCH-i509,SCH-i509
Samsung,Galaxy Y Duos,GT-S6102,GT-S6102
Samsung,Galaxy Y Duos,GT-S6102B,GT-S6102B
Samsung,Galaxy Y Duos,GT-S6102E,GT-S6102E
Samsung,Galaxy Y Plus,coriplusds,GT-S5303
Samsung,Galaxy Y Plus,coriplusds,GT-S5303B
Samsung,Galaxy Y Pop,GT-S6108,GT-S6108
Samsung,Galaxy Y Pro,GT-B5510,GT-B5510
Samsung,Galaxy Y Pro,GT-B5510B,GT-B5510B
Samsung,Galaxy Y Pro,GT-B5510L,GT-B5510L
Samsung,Galaxy Y Pro Duos,GT-B5512,GT-B5512
Samsung,Galaxy Y Pro Duos,GT-B5512B,GT-B5512B
Samsung,Galaxy Y TV,GT-S5367,GT-S5367
Samsung,Galaxy Young,roy,GT-S6312
Samsung,Galaxy Young,roydtv,GT-S6313T
Samsung,Galaxy Young,royss,GT-S6310
Samsung,Galaxy Young,royss,GT-S6310B
Samsung,Galaxy Young,royss,GT-S6310L
Samsung,Galaxy Young,royss,GT-S6310T
Samsung,Galaxy Young,royssdtv,GT-S6313T
Samsung,Galaxy Young,royssnfc,GT-S6310N
Samsung,Galaxy Young2,young23g,SM-G130H
Samsung,Galaxy Young2,young23g,SM-G130M
Samsung,Galaxy Young2,young23g,SM-G130U
Samsung,Galaxy Young2,young23gdtv,SM-G130BT
Samsung,Galaxy Young2,young2ds2g,SM-G130E
Samsung,Galaxy Young2,young2nfc3g,SM-G130HN
Samsung,Galaxy Young2 Pro,young2ve3g,SM-G130BU
Samsung,Galaxy Z Flip,SCV47,SCV47
Samsung,Galaxy Z Flip,bloomq,SM-F7000
Samsung,Galaxy Z Flip,bloomq,SM-F700F
Samsung,Galaxy Z Flip,bloomq,SM-F700N
Samsung,Galaxy Z Flip,bloomq,SM-F700U
Samsung,Galaxy Z Flip,bloomq,SM-F700U1
Samsung,Galaxy Z Flip,bloomq,SM-F700W
Samsung,Galaxy Z Flip 5G,SCG04,SCG04
Samsung,Galaxy Z Flip 5G,bloomxq,SM-F7070
Samsung,Galaxy Z Flip 5G,bloomxq,SM-F707B
Samsung,Galaxy Z Flip 5G,bloomxq,SM-F707N
Samsung,Galaxy Z Flip 5G,bloomxq,SM-F707U
Samsung,Galaxy Z Flip 5G,bloomxq,SM-F707U1
Samsung,Galaxy Z Flip 5G,bloomxq,SM-F707W
Samsung,Galaxy Z Flip3 5G,SC-54B,SC-54B
Samsung,Galaxy Z Flip3 5G,SCG12,SCG12
Samsung,Galaxy Z Flip3 5G,b2q,SM-F7110
Samsung,Galaxy Z Flip3 5G,b2q,SM-F711B
Samsung,Galaxy Z Flip3 5G,b2q,SM-F711N
Samsung,Galaxy Z Flip3 5G,b2q,SM-F711U
Samsung,Galaxy Z Flip3 5G,b2q,SM-F711U1
Samsung,Galaxy Z Flip3 5G,b2q,SM-F711W
Samsung,Galaxy Z Flip4,SC-54C,SC-54C
Samsung,Galaxy Z Flip4,SCG17,SCG17
Samsung,Galaxy Z Flip4,b4q,SM-F7210
Samsung,Galaxy Z Flip4,b4q,SM-F721B
Samsung,Galaxy Z Flip4,b4q,SM-F721C
Samsung,Galaxy Z Flip4,b4q,SM-F721N
Samsung,Galaxy Z Flip4,b4q,SM-F721U
Samsung,Galaxy Z Flip4,b4q,SM-F721U1
Samsung,Galaxy Z Flip4,b4q,SM-F721W
Samsung,Galaxy Z Fold2 5G,f2q,SM-F9160
Samsung,Galaxy Z Fold2 5G,f2q,SM-F916B
Samsung,Galaxy Z Fold2 5G,f2q,SM-F916N
Samsung,Galaxy Z Fold2 5G,f2q,SM-F916Q
Samsung,Galaxy Z Fold2 5G,f2q,SM-F916U
Samsung,Galaxy Z Fold2 5G,f2q,SM-F916U1
Samsung,Galaxy Z Fold2 5G,f2q,SM-F916W
Samsung,Galaxy Z Fold3 5G,SC-55B,SC-55B
Samsung,Galaxy Z Fold3 5G,SCG11,SCG11
Samsung,Galaxy Z Fold3 5G,q2q,SM-F9260
Samsung,Galaxy Z Fold3 5G,q2q,SM-F926B
Samsung,Galaxy Z Fold3 5G,q2q,SM-F926N
Samsung,Galaxy Z Fold3 5G,q2q,SM-F926U
Samsung,Galaxy Z Fold3 5G,q2q,SM-F926U1
Samsung,Galaxy Z Fold3 5G,q2q,SM-F926W
Samsung,Galaxy Z Fold4,SC-55C,SC-55C
Samsung,Galaxy Z Fold4,SCG16,SCG16
Samsung,Galaxy Z Fold4,q4q,SM-F9360
Samsung,Galaxy Z Fold4,q4q,SM-F936B
Samsung,Galaxy Z Fold4,q4q,SM-F936N
Samsung,Galaxy Z Fold4,q4q,SM-F936U
Samsung,Galaxy Z Fold4,q4q,SM-F936U1
Samsung,Galaxy Z Fold4,q4q,SM-F936W
Samsung,Galaxy player 70 Plus,YP-GB70D,YP-GB70D
Samsung,Galaxy view,gvltektt,SM-T677NK
Samsung,Galaxy view,gvltelgt,SM-T677NL
Samsung,Galaxy win,delos3gss,GT-I8550L
Samsung,Galaxy-A9(2016),a9xltechn,SM-A9000
Samsung,Garda,gardalteMetroPCS,SGH-T399N
Samsung,Garda,gardaltetmo,SGH-T399
Samsung,Gear Live,sprat,Gear Live
Samsung,Gem,SCH-I100,SCH-I100
Samsung,Gizmo Tablet,gtasliteltevzw,SM-T387VK
Samsung,Hennessy,hennessy3gduosctc,SCH-W789
Samsung,Homesync,spcwifi,GT-B9150
Samsung,Homesync,spcwifiany,GT-B9150
Samsung,IceTouch,gokey,YP-GH1
Samsung,Illusion,SCH-I110,SCH-I110
Samsung,Infuse,SGH-I997,SAMSUNG-SGH-I997
Samsung,Infuse,SGH-I997R,SAMSUNG-SGH-I997R
Samsung,J1 Mini Prime,j1minivelte,SM-J106F
Samsung,Moment,SPH-M900,SPH-M900
Samsung,Montblanc,montblanc3gctc,SM-W2014
Samsung,Nexus 10,manta,Nexus 10
Samsung,Nexus S,crespo,Nexus S
Samsung,Nexus S,crespo4g,Nexus S 4G
Samsung,ProXpress M4580,fiber-athena,samsung-printer-tablet
Samsung,Replenish,SPH-M580,SPH-M580
Samsung,Replenish,SPH-M580BST,SPH-M580BST
Samsung,Repp,SCH-R680,SCH-R680
Samsung,Roy VE DTV,royssvedtv,GT-S6293T
Samsung,Roy VE DTV,royvedtv,GT-S6293T
Samsung,Rugby Smart,SGH-I847,SAMSUNG-SGH-I847
Samsung,SM-G6200,Phoenix,SM-G6200
Samsung,SM-G9198,philippeltechn,SM-G9198
Samsung,SM-J260A,j2coreplteatt,SM-J260A
Samsung,SM-J336AZ,j3toplteaio,SM-J336AZ
Samsung,SM-J337A,j3toplteatt,SM-J337A
Samsung,SM-J337AZ,j3toplteaio,SM-J337AZ
Samsung,SM-T230NZ,degasy18wifichn,SM-T230NZ
Samsung,SM-W2018,kellyltechn,SM-W2018
Samsung,SM-W2018,kellyltechn,SM-W2018X
Samsung,Sidekick,SGH-T839,SGH-T839
Samsung,Transfix,SCH-R730,SCH-R730
Samsung,Transform,SPH-M920,SPH-M920
Samsung,Transform Ultra,SPH-M930,SPH-M930
Samsung,Transform Ultra,SPH-M930BST,SPH-M930BST
Samsung,VinsQ,SPH-M910,SPH-M910
Samsung,VinsQ(M910),SPH-M910,SPH-M910
Samsung,W2016,royceltectc,SM-W2016
Samsung,W2017,veyronltectc,SM-W2017
Samsung,olleh,ik1,SMT-E5015
Samsung,三星 W21 5G,victory,SM-W2021
Samsung,三星W20,zodiac,SM-W2020
Samsung,三星W22 5G,v2q,SM-W2022
Samsung,心系天下 三星 W23 Flip,e4q,SM-W7023
Samsung,领世旗舰8,venenoltechn,SM-G9298
Samtech,T3G_04,T3G_04,T3G_04
Samtech,TWIFI-04,TWIFI-04,TWIFI-04
Samtech,TWIFI-06,TWIFI-06,TWIFI-06
Samtech,TWIFI_07,TWIFI-07,TWIFI-07
Samtech,TWIFI_Q07,TWIFI_Q07,TWIFI_Q07
Sanaeko,FX9,SANAEKO,FX9
Sandata,Sandata,Sandata_T5,T5
Sandata,Sandata_T5,Sandata_T5,T5
Sankey,TAB7A3G06,TAB7A3G06,TAB7A3G06
Sankey,TAB1012FKY,TAB1012FKY,TAB1012FKY
Sankey,TAB10A3G02,TAB10A3G02,TAB10A3G02
Sankey,TAB7A3G05,TAB7A3G05,TAB7A3G05
Sansei,TS10A1,TS10A1,TS10A1
Sansei,TS7A1,TS7A1,TS7A1
Sansei,TS7K,TS7K,TS7K
Sansui,ETAB M9021G,ETAB_M9021G,ETAB_M9021G
Sansui,ETAB S7042G,S7042G,ETAB_S7042G
Sansui,Fun,Sansui_Fun,Sansui Fun
Sansui,Go,S401,Go
Sansui,Grand,Grand,Grand
Sansui,Israel,SAN-8487,SAN-8487
Sansui,Mexio,yeongdeungpo,AiPlus4K
Sansui,Nitro,Nitro,Nitro
Sansui,SANSUI SmartTV,sunnyvale,SANSUI SmartTV
Sansui,SANSUITV UHD,SW4H,SANSUITV UHD
Sansui,Sansui Play,Play,Sansui Play
Sansui,Sansui Smart TV,stanford,40D
Sansui,Sansui_Nova,Sansui_Nova,Sansui_Nova
Sansui,Switch,SansuiSwitch,Sansui_Switch
Sansui,"Tab 7""",ETAB_I7043G,ETAB I7043G
Sansui,"Tab 7""",ETAB_I7043G,ETAB_I7043G
Sansui,"Tab 7""",ETAB_I7043G_VP3,ETAB_I7043G_VP3
Sansui,USA,Canada,Mexico,martin,AiPlus2K
Sansui TV,Canada,yeongdeungpo,AiPlus4K
Sansui TV,JSC43ASUHD,samseong,AI PONT
Sansui TV,SANSUITV,shibuya,SANSUITV
Sansui TV,USA,yeongdeungpo,AiPlus4K
Sanyo,55CE6139M1,CEM1,CEM1
Sanyo,Android TV,R1,ATV R1
Sanyo,Android TV,R2,ATV R2
Sanyo,Benesse,31TL04,31TL04
Sanyo,Benesse,40TL04,40TL04
Sanyo,Benesse,41EA04,41EA04
Sanyo,CEA1,CEA1,CEA1
Sanyo,CEA3,CEA3,CEA3
Sanyo,CEH1,CEH1,CEH1
Sanyo,CER2,CER2,CER2
Sanyo,CER3,CER3,CER3
Sanyo,SanyoTV,shibuya,SanyoTV
Sapphire,Sapphire Phone,Sapphire_Phone,Sapphire Phone
Sasktel,HMB2213PW22WA,HMB2213PW22WA,HMB2213PW22WA
Sasktel,SaskTel maxTV Stream,HMB2213PW22WA,HMB2213PW22WA
Sasktel,maxTV Stream,uiw4054sas,maxTV Stream
Satewave,HPAD-IP8045,HPAD-IP8045,HPAD-IP8045
Sceptre,4K Smart TV,gangbyeon,4K Smart TV
Sceptre,Smart TV,kanda,2K Smart TV
Schok,FreedomTurboXL,SFT57216,FreedomTurboXL
Schok,SCHOK,SM7216H,SM7216H
Schok,SV55216,SV55216,Schok Volt SV55
Schok,freedom turbo,SFT5216,freedom turbo
Schok,freedom turbo XL,freedom_turbo_XL,freedom turbo XL
Schok,mini_SM7216,SM7216,SM7216
Scope,F503V,F503V,F503V
Scope,F5O3V,F5O3V,F503V
Scope,SP1089,SP1089,SP1089
Scope,SP1089X,SP1089X,SP1089X
Scope,SP1099A,SP1099A,SP1099A
Scope,SP1099R,SP1099R,SP1099R
Scope,SP1099V,SP1099V,SP1099V
Sea Mobile,S503L,S503L,S503L
Seatel,L4,L4,L4
Seatel,T8,seatel_T8,Seatel T8
Seatel,V8A,Seatel_V8A,Seatel V8A
Seatel,V8E,Seatel_V8E,Seatel V8E
SecQre,ATV HD Stick,SEI100,ATV HD Stick
Secureye,S-SAB220,S-SAB220,S-SAB220
Secureye,SAB200_001,SAB200_001,SAB200_001
Seeken,SG2,SG2,SG2
Seeken,SG3,Seeken_SG3,SG3
Seeken,ST-107,ST-107,ST-107
Seemahale Telecoms,ST5000,ST5000,ST5000
Seiki,North America,hongik,Seiki Android TV
Seiki,North America,uguisudani,Seiki Android TV 2K
Selectron,T856G,T856G,T856G
Selfix,ES733,ES733,ES733
Selfix,SELFIX_ES732_EXPERIUS,EXPERIUS,SELFIX_ES732_EXPERIUS
Selfix,X5,X5,X5
Selfix,X7,X7,X7
Selvas,BrailleSense Polaris,polaris,BrailleSensePolaris
Selvas,BrailleSenseMini,BrailleSenseMini,H620B
Selvas,BrailleSense_EEA,BrailleSense,H632B
Selvas,H632B,BrailleSense,H632B
Semeakoko,M_766,M_766,M_766
Semeakoko,SS1010,SS1010,SS1010
Senseit,A109,SENSEIT_A109,SENSEIT_A109
Senseit,C205,C205,C205
Senseit,L301,SENSEIT-L301,SENSEIT L301
Senseit,SENSEIT T250,SENSEIT_T250,SENSEIT T250
Senseit,SENSEIT W289,SENSEIT_W289,SENSEIT W289
Senseit,SENSEIT_A247,SENSEIT_A247,SENSEIT A247
Senseit,Senseit N151,SENSEIT_N151,SENSEIT N151
Senseit,Senseit_J2,Senseit,Senseit_J2
Senter,S917V9,S917V9,S917V9
Senter,SD917R,SD917R_Tablet,SD917R
Senwa,LS5,Telcel_LS5,LS5
Senwa,LS5000,Senwa_LS5000,LS5000
Senwa,LS5018FP,LS5018FP,LS5018FP
Senwa,LS5518H,Senwa_LS5518H,LS5518H
Senwa,LS55M,Senwa_LS55M,LS55M
Senwa,LS5718,Senwa_LS5718,LS5718
Senwa,LS5U,Senwa_LS5U,LS5U
Senwa,S40E_Claro_CO,S40E_Claro_CO,S40E
Senwa,S40E_Claro_EC,S40E_Claro_EC,S40E
Senwa,S45,Senwa_S45,S45
Senwa,S50,Senwa_S50,S50
Senwa,Senwa_LS5018,Senwa_LS5018,LS5018
Senwa,Senwa_LS5018F,Senwa_LS5018F,LS5018F
Senwa,Senwa_S571,Senwa_S571,S571
Senwa,Telcel S6000,Telcel_S6000,S6000
Senwa,Telcel_LS50,Telcel_LS50,LS50
Senwa,Telcel_LS55,Telcel_LS55,LS55
Serenity,BE109,BE109,BE109
Serenity,T1000,T1000,T1000
Serenity,T2000,T2000,T2000
Servicom IT,IT-1101S,IT_1101S,IT_1101S
Servicom IT,Smart Class,Smart_Class,Smart Class
Servicom IT,T6000,T6000,T6000
Seuic,AUTOID Pad Air,d520,AUTOID Pad Air
Seuic,AUTOID Pad Air-5G,D527,AUTOID Pad Air-5G
Seuic,AUTOID Q7,d310m,AUTOID Q7
Seuic,AUTOID Q9,d550,AUTOID Q9
Seuic,AUTOID10,d560,AUTOID10
Seuic,AUTOID11,d310x,AUTOID11
Seuic,AUTOID9N,d500b,AUTIOD9N
Seuic,AUTOID9N,d500b,AUTOID9N
Seuic,AUTOIDQ9G,d550,AUTOID Q9
Seuic,CRUISE1,d700s,CRUISE1
Seuic,CRUISE2,d730,CRUISE2
Seuic,CRUISE2 5G,d740,CRUISE2 5G
Seuic,HHT8B,hht8b,HHT8B
Sharp,,SH7218T,SH7218T
Sharp,,SH8268U,SH8268U
Sharp,,SH8288U,SH8288U
Sharp,,SH8298U,SH8298U
Sharp,,msm7627_surf,SH8118U
Sharp,"2T-B40BCH1, 2T-B40BCH3, 2T-B45BCH1, 2T-B45BCH3",Lcd_xxsffocbc_h,LCD_xxSFFOCBC_H
Sharp,2T-BG1X,ebisu,AQUOS-TVX19A
Sharp,2T-C12AF,taurus_2tcxxaf,2T-C12AF
Sharp,2T-C12AP,taurus_2tcxxap,2T-C12AP
Sharp,2T-C16AP,taurus_2tcfxxap,2T-C16AP
Sharp,2T-C32ACSA, 2T-C32ACMA, 2T-C32ACTA, 2T-C32ACZA,Lcd_32sfinf380a,LCD_32SFINF380A
Sharp,"2T-C40ACxA, 2T-C45ACxA, 2T-C45ADxA",Lcd_xxsffocca_c,LCD_xxSFFOCCA_C
Sharp,2T-C50BG1X,meguro,AQUOS-TVX19C
Sharp,306SH,SG306SH,306SH
Sharp,401SH,SG401SH,401SH
Sharp,4T-C**AM1/AN1/AL1, 8T-C**AX1/AW1,tcsu2uj,AQUOS-TVJ18
Sharp,4T-C**AM1/AN1/AL1,8T-C**AX1/AW1,tcsu2uj,AQUOS-TVJ18
Sharp,4T-C**BL1/BJ1/BN1/CL1/CN1/CQ1,tcmeruj,AQUOS-TVJ19
Sharp,4T-C**BN1/BL1,tcmeruj,AQUOS-TVJ19B
Sharp,4T-C**BN1H/BL1H,tcmeruj,AQUOS-TVJ20B
Sharp,4T-C**DL1/DJ1/DQ1/DN2,tcve2uj,AQUOS-TVJ21-2
Sharp,4T-C**DS1/DN1/DP1,tcvenuj,AQUOS-TVJ21
Sharp,4T-C**EN1/EQ1/ES1/EU1/EP1,tcvenruj,AQUOS-4KTVJ22
Sharp,4T-C**EN2/EL1/EQ2,tcvenruj,AQUOS-4KTVJ22-2
Sharp,4T-C50AG1T,LCD_50FOCAG1T,LCD_50FOCAG1T
Sharp,"4T-C50BDXA,4T-C50BDKA,4T-C50BDMA,4T-C50BDCA,4T-C50BDZA",Lcd_50sumtcca_xa,LCD_50SUMTCCA_XA
Sharp,4T-C50BJ8T,gangnam,TVX19B
Sharp,4T-C50BK1X,gangnam,AQUOS-TVX19B
Sharp,4T-C50BK1X,jamsil,AQUOS-TVX19D
Sharp,4T-C60AL1H,4T-C70AL1H,lc_xxeos5h,LC-xxEOS5H
Sharp,4T-C60AM1H,4T-C70AM1H,lc_xxdem6h,LC-xxDEM6H
Sharp,4T-C60ANAA,4T-C70ANAA,4T-C60ASAA,4T-C70ASAA,lcd_xxgae7a,LCD-xxGAE7A
Sharp,4T-C60BK2UD,guro,AQUOS-TVU19A
Sharp,4T-C60CFZA  4T-C70CFZA 4T-C60CFMA 4T-C70CFMA 4T-C60CFKA 4T-C70CFKA 4T-C60CFXA 4T-C70CFXA 4T-C60CFCA 4T-C70CFCA,lcd_xxhad5a,LCD-xxHAD5A
Sharp,507SH,eve_sprout,507SH
Sharp,8T-C**BW1,tcme8sj,AQUOS-8KTVJ19
Sharp,8T-C**CX1,tcme8tsj,AQUOS-8KTVJ20
Sharp,8T-C**DW1/DX1,tcve8sj,AQUOS-8KTVJ21
Sharp,8T-C**DW1X,tcba8sx,AQUOS-TVH21A
Sharp,8T-C**DW1X/DW2X,tcba8sx,AQUOS-TVX21A
Sharp,8T-CxxAXAA,lcd_xxgae9a,LCD-xxGAE9A
Sharp,A01SH,A01SH,A01SH
Sharp,A1,TSL,FS8002
Sharp,ADS1,ADS1,SHARP-ADS1
